ruta,distancia
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Pamplona -> España, Lugo -> España, Guadalajara -> España, Palencia -> España, Sevilla -> España, Las Palmas",5167.77
"Mataró -> España, Castellón -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5172.450000000001
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Pamplona -> España, Guadalajara -> España, Lugo -> España, Sevilla -> España, Las Palmas",5173.299999999999
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5186.610000000001
"Mataró -> España, Castellón -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5187.59
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Guadalajara -> España, Pamplona -> España, Lugo -> España, Sevilla -> España, Las Palmas",5190.37
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5193.24
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Pamplona -> España, Lugo -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5194.24
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5202.110000000001
"Mataró -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5213.8099999999995
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Guadalajara -> España, Pamplona -> España, Palencia -> España, Sevilla -> España, Las Palmas",5217.549999999999
"Mataró -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5227.65
"Mataró -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5230.25
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Pamplona -> España, Guadalajara -> España, Palencia -> España, Sevilla -> España, Las Palmas",5231.119999999999
"Mataró -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5243.150000000001
"Mataró -> España, Castellón -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5251.93
"Mataró -> España, Castellón -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5253.41
"Mataró -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5253.8099999999995
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5265.32
"Mataró -> España, Castellón -> España, Pamplona -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5267.34
"Mataró -> España, Castellón -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5267.43
"Mataró -> España, Pamplona -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5270.84
"Mataró -> España, Pamplona -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5271.95
"Mataró -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5277.92
