dataset,n_muestras,n_features,silhouette,calinski,inertia,n_clusters
knn_dataset1_variables_originales,1772,4,0.2523752447067189,702.1538892833847,2737.3173825988083,5
knn_dataset2_urgencia_60_40,1772,4,0.2487681428320352,668.761846397726,2819.53228158414,5
knn_dataset3_urgencia_40_60,1772,4,0.25024714928445935,673.0255724369424,2808.7483054147324,5
knn_dataset4_todas_urgencias,1772,10,0.2862781112948925,917.6663500259547,5758.213809809301,5
knn_dataset5_normalizado,1772,4,0.25237524470608586,702.1538892833847,2737.3173825988088,5
knn_dataset5_sin_normalizar,1772,4,0.2523752447067189,702.1538892833847,2737.3173825988083,5
