,0,24,37,19,39,40,32,27,2,33,17,38,8,23,9,35,13,14,11,30,7,34,28,25,29,36,15,12,5,16,22,1,6,3
0,0.0,7.05,8.46,5.97,10.15,10.49,7.05,5.98,7.39,6.16,4.73,3.45,2.13,3.92,6.26,5.76,8.29,5.71,5.78,4.92,8.82,3.25,6.54,0.6,9.85,8.01,10.11,1.66,1.05,5.28,7.58,3.33,5.14,7.41
24,7.06,0.0,4.4,3.47,3.68,7.06,4.72,2.85,3.25,6.1,4.0,5.29,6.57,3.41,4.63,2.21,4.71,6.25,2.79,5.69,2.35,5.97,2.4,6.76,6.9,4.37,3.55,5.72,7.49,5.93,3.35,4.14,4.4,4.31
37,8.51,4.33,0.0,6.1,4.55,3.66,1.76,4.05,2.08,3.92,5.81,5.37,6.65,5.78,2.47,4.83,0.88,4.08,2.96,3.82,5.83,6.05,2.37,8.29,3.58,7.68,3.32,7.49,8.9,3.75,1.23,6.51,4.03,1.35
19,5.98,3.48,6.12,0.0,5.48,8.79,6.45,3.21,4.98,7.5,3.67,5.36,5.52,2.24,6.02,1.52,6.44,7.65,4.18,6.95,4.84,6.04,3.91,5.69,8.63,2.23,6.95,4.65,6.41,7.3,5.17,3.07,5.8,6.04
39,10.19,3.78,4.59,5.47,0.0,7.94,6.07,5.98,5.95,8.23,7.13,8.2,9.48,6.55,6.78,5.34,5.16,8.38,5.7,8.13,1.74,8.88,5.2,9.9,7.87,4.26,2.47,8.86,10.62,8.06,5.36,7.28,7.31,5.65
40,10.5,6.95,3.59,8.72,7.86,0.0,3.88,6.67,4.54,5.92,8.43,7.36,8.64,8.4,4.47,7.45,2.98,6.07,5.58,5.8,8.75,8.04,4.98,10.29,1.16,10.3,6.17,9.49,10.9,5.74,4.37,9.13,6.16,3.47
32,7.13,4.7,1.76,6.47,6.06,3.94,0.0,4.43,1.82,2.54,5.54,3.99,5.27,6.15,1.09,5.21,1.59,2.7,3.23,2.44,6.51,4.67,2.74,6.91,3.66,8.05,4.83,6.11,7.52,2.37,2.13,6.88,2.8,0.71
27,5.99,2.81,4.06,3.21,5.91,6.73,4.39,0.0,2.92,5.44,1.84,3.62,4.96,2.35,3.96,1.95,4.38,5.59,2.0,4.76,4.57,4.31,1.85,5.7,6.57,5.25,5.46,4.66,6.42,5.06,3.11,3.08,3.46,3.98
2,7.43,3.19,2.07,4.96,5.86,4.63,1.81,2.91,0.0,3.98,4.67,4.29,5.56,4.64,2.5,3.69,2.28,4.13,1.82,3.88,4.99,4.96,1.22,7.21,4.47,6.54,4.65,6.41,7.82,3.81,1.12,5.37,2.88,1.4
33,6.14,6.11,3.89,7.53,8.19,5.92,2.47,5.48,3.94,0.0,4.66,3.01,4.28,6.06,1.69,6.26,3.72,1.39,4.2,1.47,7.87,3.68,4.1,5.93,5.2,9.41,6.95,5.13,6.54,1.43,4.26,6.23,2.63,2.84
17,4.76,4.02,5.88,3.68,7.12,8.54,5.55,1.87,4.73,4.77,0.0,1.94,3.28,1.65,4.87,2.9,6.19,4.32,3.21,3.53,5.79,2.63,3.66,4.47,8.38,5.72,7.27,3.43,5.19,3.88,4.92,1.81,2.87,5.77
38,3.45,5.33,5.33,5.34,8.22,7.36,3.91,3.63,4.29,3.03,1.9,0.0,1.59,3.31,3.13,4.65,5.16,2.58,2.68,1.79,7.08,0.96,3.44,3.24,6.72,7.37,7.01,2.44,3.84,2.14,4.48,3.47,2.01,4.28
8,2.14,6.54,6.56,5.51,9.43,8.6,5.15,4.96,5.5,4.27,3.23,1.55,0.0,3.46,4.36,5.3,6.4,3.82,3.89,3.03,8.29,1.44,4.65,1.94,7.96,7.55,8.22,1.14,2.45,3.38,5.68,2.87,3.24,5.52
23,3.95,3.46,5.86,2.22,6.56,8.53,6.19,2.38,4.72,6.15,1.64,3.33,3.5,0.0,5.76,2.01,6.17,5.7,3.92,4.91,5.22,4.01,3.65,3.66,8.36,4.25,6.93,2.62,4.39,5.27,4.91,1.04,4.25,5.78
9,6.26,4.63,2.41,6.05,6.71,4.44,0.99,4.0,2.46,1.69,4.77,3.12,4.4,5.73,0.0,4.78,2.24,1.84,2.72,1.52,6.38,3.8,2.62,6.04,3.8,7.93,5.48,5.25,6.65,1.52,2.78,6.34,2.26,1.36
35,5.75,2.22,4.87,1.51,5.32,7.53,5.19,1.95,3.73,6.25,2.85,4.63,5.29,2.01,4.77,0.0,5.18,6.4,2.93,5.84,3.99,5.32,2.65,5.46,7.37,3.55,5.7,4.41,6.18,6.07,3.91,2.84,4.54,4.78
13,8.36,4.67,0.88,6.44,5.15,3.06,1.61,4.39,2.27,3.77,6.15,5.22,6.5,6.12,2.32,5.17,0.0,3.93,3.31,3.67,6.43,5.89,2.71,8.14,2.99,8.02,3.92,7.34,8.75,3.6,1.93,6.85,3.88,1.2
14,5.76,6.34,4.11,7.71,8.41,6.14,2.69,5.7,4.16,1.39,4.27,2.62,3.89,5.67,1.91,6.48,3.94,0.0,4.42,1.55,8.09,2.94,4.32,5.54,5.5,9.63,7.18,4.74,6.15,1.59,4.48,5.84,2.73,3.06
11,5.85,2.82,2.96,4.23,5.71,5.62,3.23,2.05,1.82,4.23,3.18,2.71,3.99,3.91,2.75,2.96,3.27,4.38,0.0,3.12,4.57,3.39,0.93,5.63,5.46,6.12,4.5,4.84,6.24,3.42,2.01,4.64,1.82,2.88
30,4.95,5.71,3.77,6.91,8.07,5.8,2.35,4.8,3.82,1.47,3.46,1.81,3.09,4.87,1.55,5.86,3.6,1.57,3.06,0.0,7.47,2.49,3.82,4.74,5.16,8.94,6.84,3.94,5.35,0.4,4.14,5.04,1.41,2.72
7,8.79,2.38,5.86,4.85,1.64,8.83,6.49,4.58,5.02,7.85,5.73,7.04,8.31,5.15,6.37,3.94,6.43,8.0,4.53,7.44,0.0,7.71,4.16,8.5,8.67,3.65,3.71,7.46,9.22,7.68,5.21,5.88,6.15,6.08
34,3.23,5.94,5.96,6.02,8.83,7.99,4.55,4.31,4.9,3.67,2.58,0.91,1.44,3.99,3.76,5.33,5.79,2.87,3.29,2.43,7.69,0.0,4.05,3.09,7.36,8.06,7.62,2.51,3.54,2.78,5.08,4.15,2.64,4.92
28,6.52,2.35,2.35,3.91,5.15,5.02,2.68,1.86,1.21,4.09,3.61,3.38,4.66,3.59,2.61,2.64,2.66,4.24,0.88,3.79,4.14,4.06,0.0,6.3,4.86,5.68,3.94,5.51,6.91,3.91,1.4,4.32,2.49,2.27
25,0.64,6.77,8.26,5.69,9.87,10.29,6.85,5.69,7.19,5.97,4.44,3.25,1.97,3.63,6.06,5.48,8.09,5.51,5.59,4.73,8.53,3.11,6.34,0.0,9.66,7.72,9.91,1.37,1.34,5.08,7.38,3.04,4.94,7.22
